MTHD,MODL,NTAX,NGEN,TRLN,REPL,DATA,DMAT,STRE,SMAX,SECS
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,08,intron,AGID,ASTRAL,30,23.7535249080658
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,08,intron,AGID,ASTRAL,30,9.6405249080658
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,08,intron,log-det,ASTRAL,30,7.208
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,08,intron,log-det,ASTRAL,30,4.961
SVDquartets,100tax+75gen,100,75,10M,08,intron,NA,SVDquartets,NA,223
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,08,intron,AGID,SVDquartets,30,81.11452490806579
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,08,intron,AGID,SVDquartets,30,31.4945249080658
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,08,intron,log-det,SVDquartets,30,74.43
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,08,intron,log-det,SVDquartets,30,26.84
RAxML,100tax+75gen,100,75,10M,08,intron,NA,RAxML,NA,60.635732
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,08,intron,AGID,RAxML,30,13.167465908065799
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,08,intron,AGID,RAxML,30,6.9955169080658
